"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 13","1,893.210","1,893.210","1,893.210","1,893.210","-","2.76%"
"Mar 13","1,842.330","1,842.330","1,842.330","1,842.330","-","1.05%"
"Feb 13","1,823.230","1,823.230","1,823.230","1,823.230","-","-1.35%"
"Jan 13","1,848.200","1,848.200","1,848.200","1,848.200","-","6.32%"
"Dec 12","1,738.360","1,738.360","1,738.360","1,738.360","-","2.27%"
"Nov 12","1,699.840","1,699.840","1,699.840","1,699.840","-","5.81%"
"Oct 12","1,606.530","1,606.530","1,606.530","1,606.530","-","2.22%"
"Sep 12","1,571.710","1,571.710","1,571.710","1,571.710","-","0.48%"
"Aug 12","1,564.240","1,564.240","1,564.240","1,564.240","-","5.26%"
"Jul 12","1,486.050","1,486.050","1,486.050","1,486.050","-","0.56%"
"Jun 12","1,477.770","1,477.770","1,477.770","1,477.770","-","-1.23%"
"May 12","1,496.100","1,496.100","1,496.100","1,496.100","-","-11.24%"
"Apr 12","1,685.630","1,685.630","1,685.630","1,685.630","-","1.00%"
"Mar 12","1,668.930","1,668.930","1,668.930","1,668.930","-","0.83%"
"Feb 12","1,655.120","1,655.120","1,655.120","1,655.120","-","7.11%"
"Jan 12","1,545.230","1,545.230","1,545.230","1,545.230","-","10.06%"
"Dec 11","1,404.050","1,404.050","1,404.050","1,404.050","-","-3.85%"
"Nov 11","1,460.260","1,460.260","1,460.260","1,460.260","-","-4.67%"
"Oct 11","1,531.830","1,531.830","1,531.830","1,531.830","-","18.40%"
"Sep 11","1,293.810","1,293.810","1,293.810","1,293.810","-","-13.96%"
"Aug 11","1,503.680","1,503.680","1,503.680","1,503.680","-","-9.06%"
"Jul 11","1,653.510","1,653.510","1,653.510","1,653.510","-","1.72%"
"Jun 11","1,625.600","1,625.600","1,625.600","1,625.600","-","2.77%"
"May 11","1,581.750","1,581.750","1,581.750","1,581.750","-","-0.43%"
"Apr 11","1,588.610","1,588.610","1,588.610","1,588.610","-","8.68%"
"Mar 11","1,461.730","1,461.730","1,461.730","1,461.730","-","-0.95%"
"Feb 11","1,475.780","1,475.780","1,475.780","1,475.780","-","2.72%"
"Jan 11","1,436.730","1,436.730","1,436.730","1,436.730","-","-1.31%"
"Dec 10","1,455.730","1,455.730","1,455.730","1,455.730","-","5.44%"
"Nov 10","1,380.650","1,380.650","1,380.650","1,380.650","-","2.39%"
"Oct 10","1,348.470","1,348.470","1,348.470","1,348.470","-","5.86%"
"Sep 10","1,273.780","1,273.780","1,273.780","1,273.780","-","18.71%"
"Aug 10","1,073.050","1,073.050","1,073.050","1,073.050","-","-4.27%"
"Jul 10","1,120.860","1,120.860","1,120.860","1,120.860","-","10.06%"
"Jun 10","1,018.400","1,018.400","1,018.400","1,018.400","-","-3.71%"
"May 10","1,057.670","1,057.670","1,057.670","1,057.670","-","-8.37%"
"Apr 10","1,154.320","1,154.320","1,154.320","1,154.320","-","3.74%"
"Mar 10","1,112.750","1,112.750","1,112.750","1,112.750","-","10.75%"
"Feb 10","1,004.730","1,004.730","1,004.730","1,004.730","-","1.29%"
"Jan 10","991.910","991.910","991.910","991.910","-","-2.79%"
"Dec 09","1,020.340","1,020.340","1,020.340","1,020.340","-","1.73%"
"Nov 09","1,002.950","1,002.950","1,002.950","1,002.950","-","4.83%"
"Oct 09","956.730","956.730","956.730","956.730","-","-1.74%"
"Sep 09","973.650","973.650","973.650","973.650","-","8.24%"
"Aug 09","899.490","899.490","899.490","899.490","-","5.08%"
"Jul 09","855.980","855.980","855.980","855.980","-","15.00%"
"Jun 09","744.340","744.340","744.340","744.340","-","-0.68%"
"May 09","749.470","749.470","749.470","749.470","-","3.94%"
